timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:13:12.451823,680,move_left,324.0,201.0,dx=-38.5px
2026-06-12T16:13:16.267431,708,move_right,348.0,190.0,dx=25.0px
2026-06-12T16:13:17.200163,712,move_left,326.5,200.5,dx=-21.5px
2026-06-12T16:14:25.588470,2464,move_right,370.5,210.5,dx=31.5px
2026-06-12T16:14:26.611593,2480,move_left,280.0,195.0,dx=-90.5px
2026-06-12T16:14:27.268036,2488,move_right,331.5,199.0,dx=51.5px
2026-06-12T16:14:28.523414,2500,blink,327.0,219.5,
2026-06-12T16:14:29.047670,2512,blink,327.0,219.5,
2026-06-12T16:16:28.116634,5640,smile,283.0,179.5,
2026-06-12T16:16:28.116874,5640,move_left,283.0,179.5,dx=-44.0px
2026-06-12T16:16:28.117007,5640,move_up,283.0,179.5,dy=-40.0px
2026-06-12T16:16:28.535755,5652,smile,283.0,179.5,
2026-06-12T16:16:29.458737,5664,smile,276.0,185.5,
2026-06-12T16:16:29.956384,5676,smile,276.0,185.5,
2026-06-12T16:16:33.684917,5764,smile,274.0,189.0,
2026-06-12T16:16:34.174510,5768,blink,266.5,179.5,
2026-06-12T16:16:34.438701,5776,smile,266.5,179.5,
2026-06-12T16:16:34.570112,5780,blink,266.5,179.5,
2026-06-12T16:16:38.422981,5868,move_right,312.0,213.0,dx=45.5px
2026-06-12T16:16:38.423229,5868,move_down,312.0,213.0,dy=33.5px
2026-06-12T16:16:48.084564,6112,move_right,342.0,179.5,dx=30.0px
2026-06-12T16:16:48.084805,6112,move_up,342.0,179.5,dy=-33.5px
2026-06-12T16:16:56.369829,6268,move_right,335.0,196.0,dx=27.5px
2026-06-12T16:17:08.343765,6544,move_left,326.0,204.5,dx=-45.5px
2026-06-12T16:17:08.343947,6544,move_down,326.0,204.5,dy=24.0px
2026-06-12T16:17:12.772508,6648,move_left,228.5,187.0,dx=-97.5px
